		  0.000	 -0.619	 -0.124	  0.495	  0.371	 -0.557	  0.186	  0.117	  0.187	  0.269	  0.168	  0.011	  0.235	  0.067	  0.025	 -0.008
          0.001	 -0.619	 -0.119	  0.500	  0.368	 -0.559	  0.191	  0.122	  0.192	  0.278	  0.173	  0.019	  0.243	  0.071	  0.024	 -0.009
          0.002	 -0.615	 -0.122	  0.493	  0.368	 -0.554	  0.186	  0.137	  0.204	  0.290	  0.185	  0.032	  0.254	  0.069	  0.018	 -0.011
          0.003	 -0.610	 -0.122	  0.488	  0.366	 -0.549	  0.183	  0.148	  0.214	  0.299	  0.191	  0.038	  0.260	  0.069	  0.024	 -0.017
          0.004	 -0.603	 -0.115	  0.488	  0.358	 -0.545	  0.187	  0.153	  0.217	  0.300	  0.192	  0.037	  0.257	  0.066	  0.026	 -0.019
          0.005	 -0.591	 -0.105	  0.486	  0.348	 -0.538	  0.190	  0.141	  0.211	  0.298	  0.189	  0.035	  0.255	  0.072	  0.025	 -0.020
          0.006	 -0.599	 -0.104	  0.495	  0.351	 -0.546	  0.196	  0.137	  0.204	  0.294	  0.185	  0.032	  0.253	  0.071	  0.034	 -0.023
          0.007	 -0.611	 -0.099	  0.512	  0.355	 -0.561	  0.207	  0.134	  0.199	  0.289	  0.179	  0.025	  0.246	  0.068	  0.052	 -0.028
          0.008	 -0.617	 -0.090	  0.527	  0.353	 -0.572	  0.218	  0.126	  0.194	  0.283	  0.170	  0.015	  0.236	  0.069	  0.073	 -0.029
          0.009	 -0.618	 -0.084	  0.535	  0.351	 -0.577	  0.226	  0.119	  0.186	  0.276	  0.162	  0.009	  0.232	  0.068	  0.077	 -0.029
          0.010	 -0.611	 -0.069	  0.543	  0.340	 -0.577	  0.237	  0.113	  0.179	  0.272	  0.157	  0.004	  0.227	  0.066	  0.086	 -0.031
          0.011	 -0.615	 -0.069	  0.546	  0.342	 -0.581	  0.238	  0.111	  0.178	  0.270	  0.155	  0.000	  0.225	  0.065	  0.092	 -0.032
          0.012	 -0.612	 -0.062	  0.549	  0.337	 -0.581	  0.243	  0.104	  0.173	  0.265	  0.149	 -0.006	  0.220	  0.066	  0.097	 -0.031
          0.013	 -0.616	 -0.064	  0.552	  0.340	 -0.584	  0.244	  0.113	  0.178	  0.269	  0.154	 -0.004	  0.222	  0.061	  0.102	 -0.035
          0.014	 -0.620	 -0.078	  0.542	  0.348	 -0.581	  0.232	  0.124	  0.189	  0.279	  0.166	  0.007	  0.234	  0.060	  0.093	 -0.040
          0.015	 -0.624	 -0.082	  0.542	  0.352	 -0.583	  0.230	  0.132	  0.195	  0.285	  0.169	  0.011	  0.239	  0.059	  0.087	 -0.038
          0.016	 -0.628	 -0.088	  0.540	  0.358	 -0.585	  0.226	  0.137	  0.200	  0.289	  0.177	  0.019	  0.246	  0.059	  0.083	 -0.038
          0.017	 -0.615	 -0.082	  0.533	  0.348	 -0.574	  0.226	  0.137	  0.204	  0.294	  0.182	  0.026	  0.253	  0.064	  0.081	 -0.037
          0.018	 -0.611	 -0.075	  0.536	  0.343	 -0.574	  0.231	  0.141	  0.206	  0.297	  0.184	  0.029	  0.254	  0.064	  0.080	 -0.035
          0.019	 -0.607	 -0.073	  0.534	  0.340	 -0.571	  0.231	  0.147	  0.214	  0.302	  0.190	  0.035	  0.260	  0.067	  0.076	 -0.036
          0.020	 -0.596	 -0.063	  0.533	  0.330	 -0.565	  0.235	  0.153	  0.222	  0.311	  0.200	  0.044	  0.271	  0.072	  0.070	 -0.035
          0.021	 -0.592	 -0.064	  0.529	  0.328	 -0.560	  0.233	  0.159	  0.229	  0.320	  0.210	  0.053	  0.279	  0.075	  0.066	 -0.036
          0.022	 -0.598	 -0.075	  0.523	  0.337	 -0.560	  0.224	  0.165	  0.233	  0.322	  0.214	  0.059	  0.282	  0.075	  0.061	 -0.041
          0.023	 -0.600	 -0.074	  0.525	  0.337	 -0.562	  0.226	  0.172	  0.235	  0.324	  0.215	  0.060	  0.283	  0.075	  0.066	 -0.044
          0.024	 -0.607	 -0.081	  0.527	  0.344	 -0.567	  0.223	  0.172	  0.233	  0.323	  0.212	  0.055	  0.279	  0.078	  0.072	 -0.046
          0.025	 -0.612	 -0.063	  0.549	  0.338	 -0.580	  0.243	  0.165	  0.228	  0.319	  0.207	  0.049	  0.273	  0.083	  0.086	 -0.050
          0.026	 -0.600	 -0.035	  0.566	  0.317	 -0.583	  0.266	  0.163	  0.229	  0.319	  0.207	  0.046	  0.270	  0.086	  0.096	 -0.053
          0.027	 -0.589	 -0.022	  0.567	  0.305	 -0.578	  0.272	  0.157	  0.224	  0.312	  0.200	  0.040	  0.263	  0.087	  0.107	 -0.053
          0.028	 -0.578	 -0.023	  0.555	  0.300	 -0.567	  0.267	  0.159	  0.227	  0.314	  0.200	  0.038	  0.262	  0.090	  0.110	 -0.055
          0.029	 -0.583	 -0.035	  0.548	  0.309	 -0.566	  0.257	  0.162	  0.231	  0.317	  0.201	  0.040	  0.261	  0.090	  0.103	 -0.057
          0.030	 -0.593	 -0.030	  0.562	  0.311	 -0.578	  0.266	  0.152	  0.224	  0.313	  0.196	  0.031	  0.254	  0.090	  0.111	 -0.057
          0.031	 -0.585	 -0.037	  0.548	  0.311	 -0.567	  0.255	  0.156	  0.228	  0.318	  0.198	  0.034	  0.255	  0.091	  0.102	 -0.054
          0.032	 -0.582	 -0.052	  0.530	  0.317	 -0.556	  0.239	  0.161	  0.236	  0.324	  0.203	  0.040	  0.261	  0.094	  0.095	 -0.053
          0.033	 -0.591	 -0.063	  0.528	  0.327	 -0.560	  0.233	  0.164	  0.241	  0.328	  0.209	  0.043	  0.267	  0.093	  0.086	 -0.052
